"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009144","purine nucleoside triphosphate metabolic process","31/784","61/6449",0.508196721311475,4.18030695884911,9.28372124853771,1.56449392738584e-13,2.20024736878717e-11,1.88188408298947e-11,"YAL038W/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YFR053C/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YMR323W/YOL077W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",31
"GO:0015980","energy derivation by oxidation of organic compounds","66/784","218/6449",0.302752293577982,2.49036931286276,8.32748500885421,3.27418562622838e-13,4.22097096981275e-11,3.61022046681497e-11,"Q0060/YAL038W/YBL021C/YBR196C/YBR238C/YCL040W/YCR012W/YDL021W/YDL067C/YDL085W/YDR529C/YER065C/YFL053W/YFR015C/YFR049W/YFR053C/YGL062W/YGR087C/YHR174W/YIL024C/YIL045W/YIL070C/YIL099W/YIL111W/YJL052W/YJL116C/YJL200C/YJR009C/YJR048W/YJR120W/YJR121W/YKL035W/YKL060C/YKL152C/YKR058W/YLR038C/YLR044C/YLR134W/YLR164W/YLR174W/YLR377C/YLR395C/YLR446W/YML070W/YMR002W/YMR118C/YMR145C/YMR170C/YMR205C/YMR256C/YMR323W/YNL037C/YNL052W/YNR001C/YOL086C/YOL126C/YOR344C/YOR347C/YOR356W/YOR393W/YPL061W/YPL075W/YPL262W/YPL271W/YPR001W/YPR184W",66
"GO:0032787","monocarboxylic acid metabolic process","59/784","185/6449",0.318918918918919,2.62335217870932,8.33380485051689,5.30261531533141e-13,6.31011222524438e-11,5.39707485941019e-11,"YAL038W/YAR035W/YBL015W/YBR196C/YCL018W/YCL026C-A/YCL040W/YCR012W/YCR034W/YCR084C/YDL021W/YEL020C/YEL071W/YER010C/YER065C/YFR053C/YGL055W/YGL205W/YGR019W/YGR087C/YGR256W/YHR067W/YHR174W/YIL160C/YJL052W/YJL097W/YJL200C/YJR009C/YKL060C/YKL152C/YKR009C/YLR044C/YLR134W/YLR174W/YLR231C/YLR372W/YLR377C/YLR446W/YML054C/YMR169C/YMR170C/YMR205C/YMR207C/YMR272C/YMR323W/YOL002C/YOL086C/YOL126C/YOR317W/YOR344C/YOR347C/YOR391C/YOR393W/YPL061W/YPL075W/YPL095C/YPR001W/YPR002W/YPR006C",59
"GO:0016052","carbohydrate catabolic process","44/784","116/6449",0.379310344827586,3.1201178747361,8.57146086944145,6.62917353073207e-13,7.32523675145894e-11,6.26531663769189e-11,"YAL038W/YBR196C/YBR299W/YCL040W/YCR012W/YDL021W/YER003C/YFL053W/YFR053C/YGR087C/YGR287C/YHL032C/YHR174W/YHR210C/YIL024C/YIL099W/YIL123W/YIL155C/YIL162W/YJL052W/YJR009C/YJR096W/YKL060C/YKL152C/YLR044C/YLR134W/YLR286C/YLR300W/YLR377C/YLR446W/YML070W/YMR170C/YMR205C/YMR323W/YNR067C/YNR071C/YOL086C/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W/YPR026W/YPR184W",44
"GO:0009141","nucleoside triphosphate metabolic process","33/784","72/6449",0.458333333333333,3.77014243197279,8.79287153391572,1.07926998028288e-12,1.07056953930406e-10,9.15664213183546e-11,"YAL038W/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDR226W/YDR322C-A/YER005W/YFR053C/YHR174W/YJL052W/YJL116C/YJR009C/YJR121W/YKL016C/YKL060C/YKL152C/YLR295C/YLR377C/YLR446W/YML081C-A/YMR205C/YMR323W/YNR012W/YOL077W-A/YOR344C/YOR347C/YOR393W/YPL075W/YPL078C/YPL271W/YPR020W",33
"GO:0072523","purine-containing compound catabolic process","26/784","47/6449",0.553191489361702,4.5504233608337,9.08744562253983,1.10724709947414e-12,1.07056953930406e-10,9.15664213183546e-11,"YAL038W/YBR196C/YCL040W/YCR012W/YDL021W/YDL238C/YFR053C/YGL126W/YHR174W/YHR202W/YIR027C/YJL052W/YJR009C/YKL060C/YKL152C/YLR377C/YLR446W/YMR205C/YMR278W/YMR323W/YNL141W/YNR001C/YOR344C/YOR347C/YOR393W/YPL075W",26
"GO:0006006","glucose metabolic process","34/784","77/6449",0.441558441558442,3.63215610919693,8.64350148043845,1.83681346524715e-12,1.61140987833715e-10,1.37824802985051e-10,"YAL038W/YBR196C/YBR239C/YCL040W/YCR012W/YDL021W/YDL085W/YFR053C/YGL062W/YGR087C/YHR043C/YHR174W/YHR210C/YJL052W/YJR009C/YKL038W/YKL060C/YKL152C/YKR097W/YLR044C/YLR134W/YLR377C/YLR446W/YMR145C/YMR170C/YMR205C/YMR278W/YNL241C/YNR071C/YOL086C/YOL126C/YOR047C/YOR347C/YPL061W",34
"GO:0046496","nicotinamide nucleotide metabolic process","35/784","81/6449",0.432098765432099,3.5543430335097,8.60579092446369,1.87494362056036e-12,1.61140987833715e-10,1.37824802985051e-10,"YAL038W/YBR117C/YBR196C/YCL040W/YCR012W/YDL021W/YFR053C/YGR043C/YGR248W/YGR256W/YHR174W/YHR202W/YIL155C/YJL052W/YJR009C/YJR078W/YKL060C/YKL152C/YLR174W/YLR231C/YLR377C/YLR446W/YMR205C/YMR315W/YMR323W/YNL129W/YNL200C/YNL241C/YNR034W/YOR095C/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W",35
"GO:0055086","nucleobase-containing small molecule metabolic process","74/784","268/6449",0.276119402985075,2.27129340542187,7.90777689746266,1.98316166087358e-12,1.61471109966917e-10,1.38107158322332e-10,"YAL038W/YBR117C/YBR196C/YCL040W/YCR012W/YDL004W/YDL021W/YDL055C/YDL166C/YDL238C/YDR226W/YDR322C-A/YER003C/YER005W/YER037W/YFL045C/YFR053C/YGL126W/YGR043C/YGR248W/YGR256W/YHR174W/YHR202W/YIL155C/YIR027C/YIR028W/YJL005W/YJL052W/YJL116C/YJR009C/YJR010W/YJR078W/YJR121W/YKL001C/YKL016C/YKL035W/YKL060C/YKL152C/YKR080W/YLR174W/YLR231C/YLR295C/YLR377C/YLR446W/YML022W/YML075C/YML081C-A/YMR169C/YMR170C/YMR205C/YMR207C/YMR271C/YMR278W/YMR315W/YMR323W/YNL129W/YNL141W/YNL200C/YNL241C/YNR001C/YNR012W/YNR034W/YOL077W-A/YOR047C/YOR095C/YOR317W/YOR344C/YOR347C/YOR393W/YPL061W/YPL075W/YPL078C/YPL271W/YPR020W",74
"GO:0044282","small molecule catabolic process","56/784","177/6449",0.31638418079096,2.60250201775626,8.04179100139947,3.07222240416369e-12,2.37636402962061e-10,2.03251766422829e-10,"YAL012W/YAL038W/YAL060W/YBR196C/YBR208C/YCL040W/YCL064C/YCR012W/YDL021W/YDL168W/YDL219W/YDR380W/YEL020C/YER003C/YER010C/YFL053W/YFR053C/YGL205W/YGR019W/YGR087C/YHL032C/YHR174W/YHR210C/YIL155C/YIL160C/YJL052W/YJL097W/YJR009C/YJR078W/YJR096W/YJR148W/YKL060C/YKL152C/YKR009C/YLR027C/YLR044C/YLR134W/YLR142W/YLR231C/YLR377C/YLR438W/YML070W/YMR170C/YMR205C/YMR250W/YMR278W/YNR071C/YOL055C/YOL086C/YOR347C/YOR391C/YPL061W/YPL095C/YPL111W/YPR001W/YPR006C",56
