"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Q0010",9.31360607283274,2.18649849270682,0.618151852361199,2.53708478307737e-05,8.48767521720405e-05
"Q0045",11101.1937602691,-2.01804809758142,0.257501326740468,4.95365635753002e-16,6.85827220287152e-15
"Q0060",295.283587079682,-0.390736532627955,0.313775480839683,0.187970293394554,0.255247114227951
"Q0075",62.6332581608776,-1.38424911979941,0.297023738159912,9.08820841288003e-07,3.85103703455932e-06
"Q0080",10.3941750948553,0.439280826738502,0.504555245234382,0.315258415488644,0.394736470591328
"Q0085",607.117021252308,-3.49650502433667,0.436383565770039,3.88132113802026e-18,6.56429851943311e-17
"Q0105",4969.62920088064,-2.6961511567633,0.289397949566134,4.30733062857076e-22,1.04111770734746e-20
"Q0110",187.503203147744,-0.502013651785618,0.547836257373228,0.27838183092717,0.355233832206009
"Q0115",22.1150735314138,0.184028925729325,0.777863427278726,0.736842137284145,0.791559488589875
"Q0120",283.677411930181,-0.9648377740531,0.402432970347928,0.00847435837487035,0.0167266937504671
"Q0130",9889.13673401805,1.92473102661985,0.275018492852013,3.1687101128396e-13,3.14216878027051e-12
"Q0140",19.6783114160138,2.09908345373778,0.464518278950376,5.20795443297488e-07,2.30094011162889e-06
"Q0250",3203.12791215014,-2.28285685263098,0.31792603171496,4.85735739088654e-14,5.30650286714365e-13
"Q0255",62.7059465470219,-0.212817118434497,0.720361908505212,0.691073480476299,0.754690749292735
"Q0275",1803.82658885697,-1.75816599463286,0.336182352826328,2.63667681640171e-08,1.3917527035438e-07
"Q0297",35.2848685213972,-0.943404177161973,0.345918256613118,0.00343694667539368,0.00745057087591881
"YAL001C",162.480974064557,-1.13943841031308,0.187427016836745,5.19641584660463e-10,3.47285810209141e-09
"YAL002W",73.999293638725,-1.3932303244198,0.240347143532483,1.94278559755947e-09,1.20150311849067e-08
"YAL003W",353.723132151979,-1.39936175834315,0.262515795551816,2.77292901653593e-08,1.45836457161604e-07
"YAL005C",3034.39420106575,1.23788711416045,0.15336626478082,2.59197955904026e-16,3.65841202481571e-15
"YAL007C",67.3238955626351,0.868946153261463,0.274037663381762,0.000913581961918128,0.00225039870959111
"YAL008W",60.0694642224305,-0.391438517310361,0.263479358130694,0.122266240754078,0.176084027461371
"YAL009W",28.6701117864595,-1.31572592815525,0.364981138024626,9.83623947170335e-05,0.000296870168176278
"YAL010C",20.4984304067592,-0.492907846473116,0.402464592441212,0.179500229485455,0.245064916743968
"YAL011W",61.5413444499325,1.47513503354051,0.434413031097805,0.000162981808298065,0.000471079955125599
"YAL012W",101.42967294384,3.26846687596313,0.264521704489757,3.96346115566188e-37,2.91038457772083e-35
"YAL013W",43.5491067729938,1.31588355070083,0.310324053135338,7.14119752936792e-06,2.6352472562254e-05
"YAL014C",22.9978040726944,-0.317801141733882,0.375428213004184,0.359542945762408,0.44085999331383
"YAL015C",24.8277697716471,0.551335414420613,0.370302133531477,0.107422919754362,0.156967344457193
"YAL016C-A",26.2066492088846,-0.481732959365133,0.397159925157784,0.184779007478147,0.251561375822749
"YAL016C-B",35.2227550836361,2.65916878555077,0.483101765451809,1.14081049552167e-09,7.2803538883622e-09
"YAL016W",270.26402093518,-0.613480596947239,0.222553125753197,0.00454840613738886,0.00958072040776789
"YAL017W",397.117000567082,-1.0870495649298,0.16763933938449,4.15155444131254e-11,3.19405402043157e-10
"YAL019W",110.071035733472,-0.615117295047944,0.233049602670168,0.00644319539018958,0.0130825958902659
"YAL020C",13.8658280189252,-0.691042131246768,0.494060463623542,0.108562112089971,0.158472272831887
"YAL021C",83.4412268243768,-1.35247581193478,0.355109338234031,4.1669266585246e-05,0.000133918789729092
"YAL022C",36.5854078300222,-0.763995263682586,0.361940366972032,0.0227775544427103,0.0403335144451045
"YAL023C",168.464015212571,0.107999952933187,0.208699633349977,0.59596784500866,0.670001835057216
"YAL024C",45.6402462276396,-0.408154185134775,0.318333005405473,0.174494632492612,0.239444855743132
"YAL025C",38.58949410555,-0.859079078530054,0.468851547401769,0.0379677352093798,0.0634638480913967
"YAL026C",94.3903988589683,-1.53634901552024,0.256133920784648,4.52927832952099e-10,3.05515623134317e-09
"YAL026C-A",24.3570573713127,0.0629319744614932,0.448376058847575,0.875231107312052,0.90341915543011
"YAL027W",23.2308583063807,0.195592460808838,0.345669745104936,0.545235614409626,0.622252960690584
"YAL028W",20.5362096027459,0.687132925934577,0.389563761991455,0.0543369757462156,0.0864533176916612
"YAL029C",199.890234699871,-1.04638481327002,0.216296683208305,6.415650287091e-07,2.77533089600409e-06
"YAL030W",87.0329235798526,-0.269262715079982,0.238078911208977,0.242969890666584,0.317878462747363
"YAL031C",78.3513755985491,-1.55218204235539,0.274290767973652,3.35837288011966e-09,2.01885192513722e-08
"YAL031W-A",21.2287401942174,0.270653687849768,0.358441885638473,0.417091626573308,0.498054451575084
"YAL032C",37.7840665715778,-0.912924685934511,0.315157645305886,0.00212709585490708,0.00483046726148617
"YAL033W",18.2309527747821,-0.66452170729177,0.417795179135179,0.0789451411407085,0.120262805608521
"YAL034C",213.841565027544,1.12430795402896,0.243217781691814,1.64858624519017e-06,6.78740156731595e-06
"YAL034W-A",10.6734133363184,0.151125279132027,0.465887032533743,0.714212824737906,0.773841725122262
"YAL035W",397.107391379619,0.981166544364719,0.244129782218144,3.09140445416523e-05,0.000102067371875996
"YAL036C",33.0590684574716,-0.118949511499503,0.330281191328906,0.701919022892634,0.763373125571835
"YAL037C-B",995.676168825695,-1.7969301783243,0.261121756521729,8.8587967214206e-13,8.26203854999371e-12
"YAL037W",13.6260607068122,-1.92212090458461,0.580812550396936,9.66555067537955e-05,0.000292030518061858
"YAL038W",1428.47505457291,-4.02789284330766,0.186748382243983,1.42349723125833e-106,8.25770743852956e-104
