Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
IL20_1	(1, 36.358272669138664)	(2, 36.37860753921266)	(3, 36.391063347845275)	(4, 36.08236404786682)	(5, 36.36339484281064)	(6, 37.39148430656847)	(7, 37.79583528492224)	(8, 38.11233713254448)	(9, 38.28142279532001)	(10, 38.331217868522195)	(11, 38.35039692860864)	(12, 38.35614037837667)	(13, 38.3587859491975)	(14, 38.36305358595993)	(15, 38.356459451539536)	(16, 38.35262539296344)	(17, 38.30925721308588)	(18, 38.30076404871697)	(19, 38.30396261769642)	(20, 38.306678060492125)	(21, 38.29837432090684)	(22, 38.325986636121364)	(23, 38.29455049073771)	(24, 38.29759895452397)	(25, 38.2705088194107)	(26, 38.21957852587136)	(27, 38.21685046361251)	(28, 38.19315429990274)	(29, 38.18337036370887)	(30, 38.11424891479259)	(31, 38.072440766232546)	(32, 38.065740761158196)	(33, 38.026543911613814)	(34, 38.03322558525749)	(35, 38.012396563574065)	(36, 38.02793218539612)	(37, 37.97908490029429)	(38, 37.959552495239805)	(39, 37.93761880560368)	(40, 37.914344530472285)	(41, 37.9132435819403)	(42, 37.89495811268091)	(43, 37.85192109408354)	(44, 37.84015855890513)	(45, 37.815399969235074)	(46, 37.80160888856536)	(47, 37.77331950594403)	(48, 37.724995065125725)	(49, 37.62252090646533)	(50, 37.14314801673846)
IL21_1	(1, 36.36246696180857)	(2, 36.38851622838283)	(3, 36.40125888357842)	(4, 36.090358683381226)	(5, 36.369734747776036)	(6, 37.39171367147218)	(7, 37.78794116704716)	(8, 38.103992360350894)	(9, 38.273153119612786)	(10, 38.319916830235705)	(11, 38.33925095890673)	(12, 38.34760011998204)	(13, 38.34787499425533)	(14, 38.35041511669326)	(15, 38.34291870375904)	(16, 38.33859653777296)	(17, 38.29086873753117)	(18, 38.282148873124214)	(19, 38.284160703446176)	(20, 38.28766622028592)	(21, 38.27630257568502)	(22, 38.30363603862679)	(23, 38.27085351216398)	(24, 38.27152822992131)	(25, 38.23988071964288)	(26, 38.189555241537796)	(27, 38.185059829372086)	(28, 38.16035057488011)	(29, 38.150288233800865)	(30, 38.07712441496795)	(31, 38.03450020071911)	(32, 38.02124230123698)	(33, 37.97676036602931)	(34, 37.98006871566881)	(35, 37.95492583831217)	(36, 37.96553227387858)	(37, 37.9143034510494)	(38, 37.895471663811364)	(39, 37.87571391561157)	(40, 37.85086461441707)	(41, 37.83805019615962)	(42, 37.815192138711765)	(43, 37.76924609206635)	(44, 37.756460089081884)	(45, 37.73220083972931)	(46, 37.71323118042698)	(47, 37.67946789211881)	(48, 37.62560036325157)	(49, 37.525115114475135)	(50, 37.04464633785847)
IL22_1	(1, 36.35889855076768)	(2, 36.37712542567163)	(3, 36.39446825475189)	(4, 36.08876330838633)	(5, 36.37232449559722)	(6, 37.400419157097794)	(7, 37.800809360729744)	(8, 38.11669731527132)	(9, 38.286631145465925)	(10, 38.340436633112816)	(11, 38.35730611014641)	(12, 38.36530127566001)	(13, 38.36551077996925)	(14, 38.369239540931666)	(15, 38.36173866304773)	(16, 38.357001430598174)	(17, 38.30796910739434)	(18, 38.29852998057148)	(19, 38.30270373403198)	(20, 38.302453100953315)	(21, 38.2916789966362)	(22, 38.3189689002657)	(23, 38.288001164077805)	(24, 38.28763813215995)	(25, 38.26057495643988)	(26, 38.21154842392922)	(27, 38.204177910881235)	(28, 38.183298750026914)	(29, 38.17580826569482)	(30, 38.10676687040503)	(31, 38.06525754850262)	(32, 38.05079536655459)	(33, 38.015092179668876)	(34, 38.01512365728302)	(35, 37.99624139469587)	(36, 38.006586987718535)	(37, 37.95468337157913)	(38, 37.93517215062632)	(39, 37.91287664561477)	(40, 37.884941153936666)	(41, 37.87844043269841)	(42, 37.85105179032642)	(43, 37.80859769456172)	(44, 37.794240190528654)	(45, 37.772358200401044)	(46, 37.75297452317725)	(47, 37.72425877271455)	(48, 37.66968549854528)	(49, 37.567856010702386)	(50, 37.09512252884025)
IL23_1	(1, 36.41639695864449)	(2, 36.417186270662384)	(3, 36.41828148071131)	(4, 36.178610214902086)	(5, 36.34523097044803)	(6, 37.37913366507684)	(7, 37.7993269292339)	(8, 38.125306294272)	(9, 38.29616746221288)	(10, 38.34608082808658)	(11, 38.36092306395076)	(12, 38.37554403885571)	(13, 38.37950391264186)	(14, 38.35306750741604)	(15, 38.35304436694323)	(16, 38.333395252589355)	(17, 38.309710186182535)	(18, 38.30284333012325)	(19, 38.320119278042604)	(20, 38.328205129830735)	(21, 38.32088687605519)	(22, 38.33974239898867)	(23, 38.31471169823809)	(24, 38.31667103060058)	(25, 38.298994403809495)	(26, 38.249451760989984)	(27, 38.23851978954215)	(28, 38.21389024315248)	(29, 38.204288056409496)	(30, 38.16150449210466)	(31, 38.1345114475602)	(32, 38.12593203801631)	(33, 38.11163946762965)	(34, 38.097834115143186)	(35, 38.09850629832951)	(36, 38.126988891939064)	(37, 38.08489684738002)	(38, 38.06968452244721)	(39, 38.046275239757485)	(40, 38.03272934586004)	(41, 38.02553788919581)	(42, 38.007075437307385)	(43, 37.97562531580405)	(44, 37.96716905795452)	(45, 37.94762328324636)	(46, 37.91126056616178)	(47, 37.860977111219455)	(48, 37.82283527216683)	(49, 37.72732455559198)	(50, 36.84481285697349)
IL24_1	(1, 36.35129723671624)	(2, 36.38885490604999)	(3, 36.40448825265716)	(4, 36.09350301945506)	(5, 36.37903319963709)	(6, 37.40404471502995)	(7, 37.79211189431292)	(8, 38.1015254508656)	(9, 38.27482107008995)	(10, 38.31566791331229)	(11, 38.331811303558894)	(12, 38.34194107238892)	(13, 38.336129103769906)	(14, 38.3447023034891)	(15, 38.334894719340525)	(16, 38.330970043557336)	(17, 38.28364535053184)	(18, 38.27614281550329)	(19, 38.27957567522076)	(20, 38.28104028540111)	(21, 38.271203471449624)	(22, 38.29540837565223)	(23, 38.25799652690825)	(24, 38.25828816808779)	(25, 38.229617508323514)	(26, 38.17828816808779)	(27, 38.165673373373785)	(28, 38.130799591111185)	(29, 38.11867973249804)	(30, 38.04204181668151)	(31, 38.003702003801514)	(32, 37.983171023084154)	(33, 37.93239918386449)	(34, 37.93202987023117)	(35, 37.892406573421404)	(36, 37.90043606596411)	(37, 37.83532241047347)	(38, 37.8121970384298)	(39, 37.7828843082759)	(40, 37.75902934064626)	(41, 37.74521431767705)	(42, 37.72544577502084)	(43, 37.68270884735228)	(44, 37.657875666599615)	(45, 37.632508138775876)	(46, 37.601237176039774)	(47, 37.57064999363677)	(48, 37.515861355491054)	(49, 37.41589937065607)	(50, 36.95220467430528)
IL25_1	(1, 36.306600769491475)	(2, 36.33995649101053)	(3, 36.365479189938924)	(4, 36.06338297691977)	(5, 36.33836256588338)	(6, 37.37122638267947)	(7, 37.752156931985894)	(8, 38.06015182166096)	(9, 38.22681205109723)	(10, 38.27256738317221)	(11, 38.28907344512044)	(12, 38.30573115818482)	(13, 38.306359498752094)	(14, 38.306047000476354)	(15, 38.303244380841264)	(16, 38.2986201086036)	(17, 38.25232822919483)	(18, 38.2450631876864)	(19, 38.25036361991716)	(20, 38.251068371245275)	(21, 38.23280837301426)	(22, 38.26366059711081)	(23, 38.23012379713662)	(24, 38.224415060577684)	(25, 38.20799360222899)	(26, 38.15593881320545)	(27, 38.14580510775004)	(28, 38.124272822865976)	(29, 38.11397375582966)	(30, 38.05196600540427)	(31, 38.01303697996583)	(32, 38.001778681999646)	(33, 37.960059576985344)	(34, 37.96022560736941)	(35, 37.93852361368391)	(36, 37.949045057770384)	(37, 37.89069816863303)	(38, 37.87033478446899)	(39, 37.850681836459906)	(40, 37.82560807165156)	(41, 37.82218095706735)	(42, 37.802367997902635)	(43, 37.75825273837273)	(44, 37.74355461856233)	(45, 37.72603465102603)	(46, 37.69291819383688)	(47, 37.66415832042125)	(48, 37.614585961520746)	(49, 37.51584135520922)	(50, 37.04997548000421)
IL29_1	(1, 36.601104023748434)	(2, 36.615157423495845)	(3, 36.62187454721564)	(4, 36.64081955823078)	(5, 36.34596159133666)	(6, 37.38211063967663)	(7, 37.86887307891083)	(8, 38.20940023114107)	(9, 38.36656452041651)	(10, 38.429192341084814)	(11, 38.42586121724408)	(12, 38.44349353866023)	(13, 38.479474878525444)	(14, 38.325366192025065)	(15, 38.34752356189983)	(16, 38.28514467993351)	(17, 38.34671354137551)	(18, 38.309494467331646)	(19, 38.37289157932326)	(20, 38.40317003243505)	(21, 38.40880229908924)	(22, 38.38903939551933)	(23, 38.39646876686354)	(24, 38.38589081151507)	(25, 38.380102473300695)	(26, 38.307257099373544)	(27, 38.26017494161577)	(28, 38.23928040514717)	(29, 38.21823025346797)	(30, 38.1948745095668)	(31, 38.1869173699204)	(32, 38.16045605296393)	(33, 38.157833297776094)	(34, 38.056347309419856)	(35, 38.07654636911152)	(36, 38.09479270890258)	(37, 38.067441510243334)	(38, 38.02056379710241)	(39, 38.0031311286324)	(40, 37.969933521273305)	(41, 37.92358871036746)	(42, 37.881209805583666)	(43, 37.869488808596714)	(44, 37.83502060988841)	(45, 37.79563832469501)	(46, 37.74488608943768)	(47, 37.595065491870706)	(48, 37.594443715552735)	(49, 37.49392701372814)	(50, 35.251019085680774)
IL30_1	(1, 36.56748021938435)	(2, 36.57250302731309)	(3, 36.59164533923991)	(4, 36.60582618520935)	(5, 36.31302634377256)	(6, 37.355667404988665)	(7, 37.836530156667976)	(8, 38.18052146462637)	(9, 38.35224759008517)	(10, 38.42011640507113)	(11, 38.4116261843413)	(12, 38.42390571854741)	(13, 38.456155970642655)	(14, 38.3083830169544)	(15, 38.32934258478285)	(16, 38.26293613924628)	(17, 38.326586536305335)	(18, 38.29145639439415)	(19, 38.357553959957)	(20, 38.38765724305454)	(21, 38.39385856914065)	(22, 38.37593354812668)	(23, 38.37945116296565)	(24, 38.37199579865366)	(25, 38.372161595585695)	(26, 38.300264754263196)	(27, 38.254333072437056)	(28, 38.232782798785315)	(29, 38.20808542158861)	(30, 38.18016874829103)	(31, 38.16502740857659)	(32, 38.136010196655995)	(33, 38.131320718684854)	(34, 38.01801862539008)	(35, 38.03533297550517)	(36, 38.04788334030182)	(37, 38.018665464904146)	(38, 37.96567497146296)	(39, 37.946243599963545)	(40, 37.908155878051005)	(41, 37.859955121982274)	(42, 37.815247530768644)	(43, 37.79840264927873)	(44, 37.767803422129695)	(45, 37.72538414686194)	(46, 37.670225561951774)	(47, 37.522070378338185)	(48, 37.52456051515682)	(49, 37.42518145794241)	(50, 35.214549331821004)
IL31_1	(1, 36.58174783306689)	(2, 36.60520719475939)	(3, 36.608656814291365)	(4, 36.627334123882676)	(5, 36.32910719045193)	(6, 37.37241540138355)	(7, 37.852968009327135)	(8, 38.189780564422996)	(9, 38.3480792673913)	(10, 38.413577635153096)	(11, 38.40642393502008)	(12, 38.4137314412562)	(13, 38.4478704166418)	(14, 38.30582987140414)	(15, 38.33208741900403)	(16, 38.262482018582745)	(17, 38.32885815522812)	(18, 38.28798825271284)	(19, 38.347667456809994)	(20, 38.380746509935776)	(21, 38.39176462993355)	(22, 38.37371771497504)	(23, 38.37230112643869)	(24, 38.36907031242128)	(25, 38.363613794536086)	(26, 38.2845511458444)	(27, 38.24053347796348)	(28, 38.214969774166356)	(29, 38.193309246271475)	(30, 38.15735936735087)	(31, 38.139523174504816)	(32, 38.11025096084522)	(33, 38.100023464012416)	(34, 37.98521346437894)	(35, 37.998371914230454)	(36, 38.002408410901694)	(37, 37.97156292358273)	(38, 37.91758683650079)	(39, 37.896609522181244)	(40, 37.85369152918147)	(41, 37.80751658952185)	(42, 37.76910991001845)	(43, 37.74946801801956)	(44, 37.71304243642155)	(45, 37.664115375173395)	(46, 37.61517834808702)	(47, 37.45799050388496)	(48, 37.45960795942708)	(49, 37.366487942276976)	(50, 35.13806771919944)
